voltage,current [mA],Power [mW],Limit [A]
0,1194,0,1.2
0.42,1194,501.48,1.2
6.4,1188,7603.2,1.2
16.25,1147,18638.75,1.2
20.1,650,13065,1.2
20.7,425,8797.5,1.2
20.57,414.8,8532.436,1.2
20.89,275.3,5751.017,1.2
21.02,208.4,4380.568,1.2
21.09,174.6,3682.314,1.2
21.2,150,3180,1.2
21.25,126.7,2692.375,1.2
21.28,112.7,2398.256,1.2
21.32,97.4,2076.568,1.2
23.37,87.7,2049.549,1.2
21.4,79.9,1709.86,1.2
21.57,73.4,1583.238,1.2
23.03,0,0,1.2
0,803,0,0.8
0.2,803,160.6,0.8
10.93,799,8733.07,0.8
18.82,666,12534.12,0.8
20.24,437,8844.88,0.8
20.62,322,6639.64,0.8
20.79,268,5571.72,0.8
20.9,224,4681.6,0.8
20.95,187,3917.65,0.8
21.04,165,3471.6,0.8
21.09,150,3163.5,0.8
21.12,134,2830.08,0.8
21.15,122,2580.3,0.8
21.18,111,2350.98,0.8
21.2,101,2141.2,0.8
21.23,92,1953.16,0.8
21.25,84,1785,0.8
21.27,78,1659.06,0.8
21.29,73,1554.17,0.8
21.31,70,1491.7,0.8
21.52,0,0,0.8
0,409,0,0.4
0.5,409,204.5,0.4
1.74,409,711.66,0.4
5.55,411.6,2284.38,0.4
9.9,420.1,4158.99,0.4
11.47,404.2,4636.174,0.4
16.1,390.2,6282.22,0.4
19.13,325.1,6219.163,0.4
19.55,291.2,5692.96,0.4
20.07,237.3,4762.611,0.4
20.29,208.3,4226.407,0.4
20.46,177.9,3639.834,0.4
20.58,153.2,3152.856,0.4
20.64,139.9,2887.536,0.4
20.7,126.1,2610.27,0.4
20.74,115.2,2389.248,0.4
20.78,106.2,2206.836,0.4
20.74,102,2115.48,0.4
20.75,96.8,2008.6,0.4
20.77,90.2,1873.454,0.4
20.77,85,1765.45,0.4
20.78,80,1662.4,0.4
20.78,76.1,1581.358,0.4
20.77,73.5,1526.595,0.4
20.75,70.8,1469.1,0.4
20.73,68.9,1428.297,0.4
20.9,0,0,0.4