power_aimed,voltage_pv,current_pv,voltage_batt,current_batt,voltage_inv_dc,current_inv_dc,power_inv_ac,power_pv,power_batt,power_inv_dc,controller_type
2.00,13.13,4.76,13.87,3.68,14.09,0.64,2.20,62.43,50.99,9.02,PWM
5.00,13.33,4.76,13.85,3.48,13.97,1.01,6.60,63.42,48.21,14.04,PWM
10.00,13.37,4.76,13.79,3.20,13.87,1.32,10.50,63.63,44.11,18.31,PWM
15.00,13.72,4.76,13.69,2.85,13.75,1.66,15.10,65.28,38.98,22.85,PWM
20.00,13.18,4.76,13.60,2.49,13.60,2.02,19.90,62.72,33.80,27.46,PWM
25.00,13.18,4.76,13.51,2.20,13.48,2.53,25.40,58.00,29.65,34.08,PWM
30.00,13.74,4.76,13.43,1.67,13.31,3.06,30.40,65.42,22.39,40.72,PWM
35.00,13.62,4.76,13.34,1.20,13.16,3.52,34.60,64.86,16.03,46.34,PWM
40.00,13.52,4.76,13.25,0.68,13.00,4.04,40.60,64.40,9.01,52.57,PWM
45.00,13.40,4.76,13.16,0.22,12.85,4.51,45.70,63.82,2.87,57.91,PWM
50.00,13.25,4.77,13.05,-0.43,12.63,5.12,50.20,63.14,-5.62,64.60,PWM
55.00,13.09,4.77,12.94,-0.93,12.46,5.44,54.80,62.37,-12.02,67.75,PWM
60.00,12.93,4.77,12.83,-1.60,12.23,6.30,59.10,61.62,-20.54,77.05,PWM
65.00,12.78,4.77,12.67,-2.17,12.01,6.92,64.70,60.91,-27.46,83.11,PWM
70.00,12.55,4.77,12.51,-3.00,11.71,7.79,70.60,59.85,-37.53,91.22,PWM
75.00,12.34,4.77,12.35,-3.90,11.43,8.65,76.40,58.87,-48.18,98.87,PWM
80.00,12.11,4.77,12.14,-4.67,11.09,9.51,80.40,57.78,-56.73,105.47,PWM
2.00,18.79,4.37,13.59,5.08,13.82,0.65,2.20,82.19,69.08,9.00,MPPT
5.00,18.48,4.74,13.78,4.76,13.96,0.91,5.60,87.54,65.61,12.76,MPPT
10.00,18.77,4.37,13.78,4.36,13.92,1.31,10.50,81.95,60.04,18.22,MPPT
15.00,18.76,4.36,13.77,4.02,13.87,1.66,14.70,81.87,55.33,23.05,MPPT
20.00,18.45,4.45,13.85,3.69,13.90,1.99,19.90,82.03,51.06,27.59,MPPT
25.00,18.44,4.45,13.76,3.25,13.75,2.47,25.30,82.08,44.75,33.94,MPPT
30.00,18.41,4.45,13.65,2.77,13.57,3.00,30.70,81.96,37.82,40.71,MPPT
35.00,18.40,4.46,13.55,2.31,13.42,3.47,34.80,82.03,31.30,46.59,MPPT
40.00,18.29,4.48,13.47,1.83,13.29,3.98,41.40,81.90,24.65,52.95,MPPT
45.00,18.27,4.48,13.37,1.37,13.13,4.46,45.40,81.87,18.37,58.61,MPPT
50.00,18.36,4.46,13.28,0.94,12.98,4.99,50.00,81.85,12.44,64.78,MPPT
55.00,18.33,4.46,13.20,0.45,12.84,5.33,54.80,81.66,5.90,68.41,MPPT
60.00,18.31,4.46,13.11,-0.09,12.68,6.05,60.00,81.61,-1.21,76.71,MPPT
65.00,18.41,4.46,13.02,-0.65,12.51,6.66,65.30,82.02,-8.52,83.32,MPPT
70.00,18.27,4.46,12.93,-1.18,12.35,7.23,70.20,81.43,-15.27,89.29,MPPT
75.00,18.25,4.46,12.84,-1.64,12.21,7.74,74.10,81.30,-21.10,94.51,MPPT
80.00,18.23,4.45,12.70,-2.37,11.97,8.59,80.80,81.20,-30.05,102.82,MPPT