resistance	Ielec [mA]	Uelec [V]	Ifc [A]	Ufc [V]	Pin [W]	Pout [W]	h [-]	distance [cm]
open	87.80	1.62	0.00	0.96	0.14	0.00	0.00	15
200	89.00	1.62	0.00	0.80	0.14	0.00	0.02	15
100	86.30	1.62	0.01	0.77	0.14	0.00	0.03	15
50	81.20	1.62	0.01	0.75	0.13	0.01	0.07	15
10	87.60	1.62	0.03	0.29	0.14	0.01	0.05	15
5	72.00	1.61	0.03	0.18	0.12	0.01	0.04	15
3	75.10	1.61	0.03	0.16	0.12	0.01	0.04	15
1	75.50	1.62	0.04	0.10	0.12	0.00	0.03	15
short	75.50	1.62	0.04	0.05	0.12	0.00	0.02	15
open	35.83	1.57	0.00	0.90	0.06	0.00	0.00	20
200	37.55	1.57	0.03	0.79	0.06	0.02	0.40	20
100	39.23	1.57	0.06	0.78	0.06	0.05	0.76	20
50	40.16	1.58	0.01	0.75	0.06	0.01	0.17	20
10	41.13	1.58	0.03	0.27	0.06	0.01	0.11	20
5	44.86	1.58	0.02	0.17	0.07	0.00	0.06	20
3	47.19	1.59	0.02	0.09	0.07	0.00	0.03	20
1	47.29	1.59	0.02	0.05	0.07	0.00	0.02	20
short	46.22	1.58	0.02	0.04	0.07	0.00	0.01	20